基隆舊站逐時潮位觀測資料
位置：基隆港
儀器型式：
基準面相對KP:
yyyymmddhh：西元年月日時
height：潮位
潮高單位：公厘；潮高空白或時間不連續，表示缺觀測資料。
時間：民國69年1月－民國69年12月
**************************
*st    yyyymmddhh height
1512   1980011601   170 Q
1512   1980011602   130 Q
1512   1980011603   170 Q
1512   1980011604   310 Q
1512   1980011605   510 Q
1512   1980011606   710 Q
1512   1980011607   870 Q
1512   1980011608   990 Q
1512   1980011609  1050 Q
1512   1980011610  1070 Q
1512   1980011611  1000 Q
1512   1980011612   910 Q
1512   1980011613   850 Q
1512   1980011614   810 Q
1512   1980011615   810 Q
1512   1980011616   840 Q
1512   1980011617   880 Q
1512   1980011618   930 Q
1512   1980011619   970 Q
1512   1980011620   960 Q
1512   1980011621   880 Q
1512   1980011622   760 Q
1512   1980011623   580 Q
1512   1980011700   270 Q
1512   1980011701   200 Q
1512   1980011702   110 Q
1512   1980011703   110 Q
1512   1980011704   200 Q
1512   1980011705   380 Q
1512   1980011706   590 Q
1512   1980011707   800 Q
1512   1980011708   990 Q
1512   1980011709  1110 Q
1512   1980011710  1140 Q
1512   1980011711  1130 Q
1512   1980011712  1050 Q
1512   1980011713   950 Q
1512   1980011714   880 Q
1512   1980011715   860 Q
1512   1980011716   870 Q
1512   1980011717   910 Q
1512   1980011718   960 Q
1512   1980011719  1040 Q
1512   1980011720  1060 Q
1512   1980011721  1040 Q
1512   1980011722   920 Q
1512   1980011723   740 Q
1512   1980011800   510 Q
1512   1980011801   310 Q
1512   1980011802   170 Q
1512   1980011803   100 Q
1512   1980011804   140 Q
1512   1980011805   290 Q
1512   1980011806   490 Q
1512   1980011807   720 Q
1512   1980011808   960 Q
1512   1980011809  1050 Q
1512   1980011810  1120 Q
1512   1980011811  1110 Q
1512   1980011812  1050 Q
1512   1980011813   930 Q
1512   1980011814   830 Q
1512   1980011815   760 Q
1512   1980011816   730 Q
1512   1980011817   750 Q
1512   1980011818   810 Q
1512   1980011819   870 Q
1512   1980011820   920 Q
1512   1980011821   910 Q
1512   1980011822   830 Q
1512   1980011823   710 Q
1512   1980011900   570 Q
1512   1980011901   330 Q
1512   1980011902   100 Q
1512   1980011903   -70 Q
1512   1980011904  -120 Q
1512   1980011905   -40 Q
1512   1980011906   120 Q
1512   1980011907   350 Q
1512   1980011908   570 Q
1512   1980011909   830 Q
1512   1980011910  1000 Q
1512   1980011911  1070 Q
1512   1980011912  1050 Q
1512   1980011913   980 Q
1512   1980011914   900 Q
1512   1980011915   780 Q
1512   1980011916   750 Q
1512   1980011917   780 Q
1512   1980011918   830 Q
1512   1980011919   900 Q
1512   1980011920   960 Q
1512   1980011921  1020 Q
1512   1980011922  1040 Q
1512   1980011923   980 Q
1512   1980012000   850 Q
1512   1980012001   660 Q
1512   1980012002   410 Q
1512   1980012003   220 Q
1512   1980012004   110 Q
1512   1980012005   120 Q
1512   1980012006   220 Q
1512   1980012007   410 Q
1512   1980012008   630 Q
1512   1980012009   890 Q
1512   1980012010  1080 Q
1512   1980012011  1200 Q
1512   1980012012  1230 Q
1512   1980012013  1170 Q
1512   1980012014  1040 Q
1512   1980012015   910 Q
1512   1980012016   830 Q
1512   1980012017   790 Q
1512   1980012018   810 Q
1512   1980012019   870 Q
1512   1980012020   930 Q
1512   1980012021  1020 Q
1512   1980012022  1090 Q
1512   1980012023  1060 Q
1512   1980012100   950 Q
1512   1980012101   790 Q
1512   1980012102   580 Q
1512   1980012103   340 Q
1512   1980012104   160 Q
1512   1980012105    90 Q
1512   1980012106   120 Q
1512   1980012107   230 Q
1512   1980012108   400 Q
1512   1980012109   590 Q
1512   1980012110   830 Q
1512   1980012111   990 Q
1512   1980012112  1090 Q
1512   1980012113  1110 Q
1512   1980012114  1050 Q
1512   1980012115   930 Q
1512   1980012116   790 Q
1512   1980012117   700 Q
1512   1980012118   650 Q
1512   1980012119   670 Q
1512   1980012120   720 Q
1512   1980012121   800 Q
1512   1980012122   890 Q
1512   1980012123   950 Q
1512   1980012200   970 Q
1512   1980012201   910 Q
1512   1980012202   790 Q
1512   1980012203   610 Q
1512   1980012204   430 Q
1512   1980012205   300 Q
1512   1980012206   240 Q
1512   1980012207   270 Q
1512   1980012208   360 Q
1512   1980012209   530 Q
1512   1980012210   720 Q
1512   1980012211   920 Q
